#Generations
Banners              || 2367/3457/5 || Exploding || The rule often produces ships with growing fluttering banners.{NL}{NL}A rule by Mirek Wojtowicz.
Plankton             || 3010112020112112222020222020112112222112102220222220202020222020222220202020202020100002020002010202020202020002010202010102020202020200020202020202020200020200000020220000220222020000020000220222020222222222020222020000020000020222020000020000 || Chaotic || "Aquarium" family member. The rule produces little creatures like in Pond, their movement looks like plankton.{NL}{NL}A rule by Tomoaki Suzudo.
Pond                 || 3010112020112112222020222020112112222112102220222220202020222020222220202020202020110102020102010202020202020102010202010112020202020200020202020202020200020200000020220000220222020000020000220222020222222222020222020000020000020222020000020000 || Chaotic || The main "Aquarium" family member. This beautiful rule produces hordes of various little creatures crawling in the pond.{NL}{NL}A rule by Tomoaki Suzudo.
Strata               || 3000000200120200000000000000000000200020100000000000000000000100000000000000000000110000000110000010000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000 || Stable || This rule goes through phases of layer forming, stability, and slow decay.{NL}{NL}A rule by Ben Schaeffer.
Tanks                || 3010112020112112222020222020112112222112102220222220202020222020222220202020202020110102020102010202020202020102010202010102020202020202020202020202020202020202020020222020222220200020200000222220200220222020200020000020200000200020000000000000 || Stable || {NL}{NL}A rule by Tomoaki Suzudo.
Typhoon              || 3010112020112112220020220000112112220112110200220200000020220000220200000000000000002002222002000200222200200002000200000000002200002020222200200200002020200020002020222020222222222020222020222222222222222222222222222020222020222222222020222020 || Chaotic || "Aquarium" family member. Apparently similar to Lake, the rule very often produces stable spiral cores that slowly take over the lattice swallowing all little creatures.{NL}{NL}A rule by Tomoaki Suzudo.
Wave                 || 3010112020112110202020202020112110202110102020202020202020202020202020202020202020112102222102000200222200202102000200000002020200020000222200202200020000202000200020220000220222020000020000220222020222222222020222020000020000020222020000020000 || Chaotic || "Wave" causes quasi-static waves which are more likely to appear in nature than purely static ones.{NL}{NL}A rule by Tomoaki Suzudo.


#General binary
Banks                || C0,NN,S3babbabbabba3b,B7ab3aba3b || Chaotic || The rule, also known as Banks Computer, has been proven to be ideal for constructing the logic elements of a virtual computer. The rule discriminates between neighbor configurations. If a 1-cell has exactly two neighbors, and if these neighbors are adjacent to one another rather than opposite one another, the cell goes to 0. A 0-cell with more than two neighbors goes to 1. In all other cases, the cell remains unchanged.{NL}{NL}A rule by Edwin Banks.
Fallski              || C48,NM,Sb255a,Babb189ab63a || Exploding || The rule draws a skewed Sierpinski gasket that gradually fades out. The visual effect reminded me of falling leaves, hence the name. The cellsize (count of states) of 48 is arbitrary, having been set to match the universe height of a particular seed.{NL}{NL}A rule by John Elliott.
FractalBeads         || C4,NN,S16a,Baabab11a || Fractal || This CA belongs to a large family of what we might call "Sierpinski rules", in virtue of the fact that they produce structures closely related to the so-called Sierpinski gasket, a well-known classical fractal. This particular rule propagates in the NW direction, but naturally each of its three rotations propagates in a different corner direction.{NL}{NL}A rule by John Elliott.
JustFriends          || C0,NM,Sa6ba3bab3a3bab3ab7a3bab3ab7ab15a3bab3ab7ab15ab31a3bab3ab7ab15ab31ab63a,B5ab3abb6abbab12abbab3ab24abbab3ab7ab49abab3ab7ab15ab95a || Chaotic || The rule is called "Just Friends" because new cells are born from a pair of parents, but not from ones which are "too intimate" with each other.{NL}{NL}A rule by David I. Bell.
LogicRule            || C0,NM,S256a,B3ababb5abaab4ab3ab23ab16ab14ab15ab32ab62ab63a || Chaotic || A two-state configuration-specific cellular automata with gliders that move orthagonally one cell per generation - the speed of light. The glider guns, called "Bit Stream Generators", can be built to output a huge selection of seemingly random bits. The BSGs can be positioned so that collisions between glider streams can easily demonstrate logic gates.{NL}{NL}A rule by David Conant, March 2001.
Meteorama            || C24,NM,S3abaab3a3b6abb5ababbaab3abbabbab7a5babaa4baab5a3b3abb5abbabababb3ababaabb3abbababaab3a6bab3abab4abba5baab3aba3b6aba4b4a4b3ab3ab5abbab5ab5ab4a4b3abba3b3ab4abaabaabbababababaab4ab3a,B5aba5b3abababab6a3baab3ababa3b3abb4abbababaab3abaabaababbaa5ba3bababab6abaababbab6ababaabaa5baabaabbaab4ab3abab10ab4ab4ababab4abababbaa4baab3a3baabbab7abaabaab3a3ba3babbab6abbaab8abbabb || Gliding || This is a randomly-generated rule. As such it is suggestive only - the table needs to be simplified. But the bidirectional meteor shower theme seems worth exploring, and also the orbits were found to produce compelling transmusic.{NL}{NL}A rule by John Elliott.
Sierpinski           || C0,NN,S16b,B4ab3ab7a || Fractal || A simple Sierpinski gasket drawer. A dead cell comes to life if it has a single living neighbor that is either its W or S neighbor. In all other cases, it stays dead. All living cells survive. Seeded with a single cell the rule produces the Pascal's triangle, but... rotated 45░.{NL}{NL}A rule by John Elliott.
Slugfest             || C20,NM,S4b3abaabbaa4bababbab6abbaab3abab3abb5abab5ab3ab4abb10abababbaa3baababbababb6abaabaabbabbaba3b4abaababaabbababaabbabbaabb3abb3aba3b3abab3abba3b3a3b5ab7a3babb7abbaab3ab4abbababba3b3abbaabbaa3baba,B6abb6abaa3babbab5ab5aba3bab7abb4a3baabab6a3babababab7ababababba3baabb6abb4abab8ababab3a4baabaabaabaab9ab5abaa4baaba3babaabbaa3babb4abba4bababb3ab5abb3abaab3a4baba4b7abbaabba || Chaotic || This is a randomly-generated rule. As such it is suggestive only - the table needs to be simplified. But who can resist the enchanting theme of slug-like gliders that lay down slime trials.{NL}{NL}A rule by John Elliott.
Snowflakes           || C0,NM,Sabbab3ab7ab13abab13ab17ab63ab6ab59ab11ab23abb7ab15a,B5ababaab3abaabaabb5abbaabaabaaba4b8abaababb4abaabaabb3abb3aba3babbab3ababab3abaab4a3baababaabab4abbabaabb4ababaababaa3b4abaab3ababab3ababba3bab3ab4abbaabbab4abbabaab8a4babaababbaabb5abbaabbab3ababbabba3b || Chaotic || An anisotropic rule. One of the most common objects is a falling "snowflake". Not everything is forced downwards however; a rocket takes off at c/2!{NL}{NL}A rule by Chris Gordon-Smith.{NL}{NL}Coded in MCell by Charles A. Rockafeller, October 2000.
Springski            || C78,NM,S256a,B8ab23ab223a || Exploding || A simple Moore Sierpinski gasket tracer.{NL}{NL}A rule by John Elliott.


#Margolus
BBM                  || MS,D0;8;4;3;2;5;9;7;1;6;10;11;12;13;14;15 || Chaotic || Billard Ball Machine - from Cellular Automata Machines{NL}{NL}A rule by Edward Fredkin.
BounceGas            || MS,D0;8;4;3;2;5;9;14;1;6;10;13;12;11;7;15 || Chaotic || A uniform "gas".{NL}{NL}A rule by Tim Tyler.
BounceGasII          || MS,D0;8;4;12;2;10;9;7;1;6;5;11;3;13;14;15 || Chaotic || Another uniform "gas".{NL}{NL}A rule by Tim Tyler.
Critters             || MS,D15;14;13;3;11;5;6;1;7;9;10;2;12;4;8;0 || Chaotic || This rule supports "gliders" - as described in Cellular Automata Machines.{NL}{NL}A rule by Margolus/Toffoli.
HPP-Gas              || MS,D0;8;4;12;2;10;9;14;1;6;5;13;3;11;7;15 || Chaotic || Hardy/Pazzis/Pomeau lattice gas - as described in Cellular Automata Machines.{NL}{NL}A rule by Hardy, Pazzis, and Pomeau.
Pegg                 || MS,D0;2;8;12;1;10;1;11;4;7;3;13;12;11;7;8 || Chaotic || A rare Margolus rule supporting gliders. A rule by Ed Pegg Jr.
Rotations            || MS,D0;2;8;12;1;10;9;11;4;6;5;14;3;7;13;15 || Stable || Limited diffusion.{NL}{NL}A rule by Tim Tyler.
RotationsII          || MS,D0;2;8;12;1;10;9;13;4;6;5;7;3;14;11;15 || Stable || Limited diffusion.{NL}{NL}A rule by Tim Tyler.
RotationsIII         || MS,D0;4;1;10;8;3;9;11;2;6;12;14;5;7;13;15 || Stable || Slow, random-looking diffusion.{NL}{NL}A rule by Tim Tyler.
RotationsIV          || MS,D0;4;1;12;8;10;6;14;2;9;5;13;3;11;7;15 || Stable || Slow, random-looking diffusion.{NL}{NL}A rule by Tim Tyler.
Sand                 || MS,D0;4;8;12;4;12;12;13;8;12;12;14;12;13;14;15 || Gliding || Sand simulation. To get most of the rule use the "Diversities/Stream injection" to produce a steady stream of new cells.{NL}{NL}A rule by Mirek Wojtowicz.
StringThing          || MS,D0;1;2;12;4;10;9;7;8;6;5;11;3;13;14;15 || Chaotic || String shaped patterns.{NL}{NL}A rule by Tim Tyler.
StringThingII        || MS,D0;1;2;12;4;10;6;7;8;9;5;11;3;13;14;15 || Chaotic || More string shaped patterns.{NL}{NL}A rule by Tim Tyler.
SwapOnDiag           || MS,D0;8;4;12;2;10;6;14;1;9;5;13;3;11;7;15 || Gliding || A gas with no particle interactions - as described in Cellular Automata Machines.{NL}{NL}A rule by Margolus/Toffoli.
Tron                 || MS,D15;1;2;3;4;5;6;7;8;9;10;11;12;13;14;0 || Chaotic || A "trip-a-tron" - from the pages of Cellular Automata Machines.{NL}{NL}A rule by Margolus/Toffoli.


#1-D totalistic
Abacus               || R2,C10,M1,S0,S1,B0,B3 || Stable || The rule produces vertical strings of beads, resembling abacus. Note that often the patterns stabilize, and only some beads change their position!{NL}{NL}Found at random by Mirek Wojtowicz.
Champagne            || R3,C0,M1,S3,S6,S7,B0,B1 || Stable || One often sees what he has on his mind, but even my wife, a total abstainer, recognizes here champagne-glasses...{NL}{NL}Found at random by Mirek Wojtowicz.
Class 4 a            || R2,C0,M1,S1,S3,B2,B3,B4 || Chaotic || An example of Wolframs mythical Class 4 automaton.{NL}{NL}Found at random by Mirek Wojtowicz.
Class 4 b            || R6,C0,M1,S3,S4,S5,S9,S11,S12,S13,B0,B1,B3,B13 || Chaotic || An example of Wolframs mythical Class 4 automaton.{NL}{NL}Found at random by Mirek Wojtowicz.
Class 4 c            || R6,C0,M1,S3,S5,S8,S9,S11,B0,B7,B8,B9,B13 || Chaotic || An example of Wolframs mythical Class 4 automaton.{NL}{NL}Found at random by Mirek Wojtowicz.
Date palms           || R5,C0,M1,S0,S7,S8,S9,S10,S11,B0 || Stable || The small triangles produced by the rule are usually aligned, what resembles trunks of date palms.{NL}{NL}Found at random by Mirek Wojtowicz.
Embossed triangles   || R2,C0,M1,S2,S3,B2,B3,B4 || Stable || Sierpinski-like patterns consisting of embossed triangles.{NL}{NL}Found at random by Mirek Wojtowicz.
Fences               || R6,C25,M1,S1,S4,S7,S8,B0,B3,B5 || Stable || A very surprising one-dimensional automaton, producing vertical strings and irregular thick more or less horizontal stripes.{NL}{NL}Found at random by Mirek Wojtowicz.
Forest               || R10,C0,M0,S1,S2,S6,S7,S9,S12,S14,S17,B1,B7,B10,B11,B13,B15,B16,B17,B19 || Stable || A very beautiful rule, showing a thicket. Sometimes the trees are sparser and their trunks can be seen among branches and leaves.{NL}{NL}Found at random by Mirek Wojtowicz.
Gears 1              || R5,C0,M1,S0,S7,S10,S11,B0 || Stable || The rule produces randomly placed segments of gears (toothed wheels) of all sizes.{NL}{NL}Found at random by Mirek Wojtowicz.
Gears 2              || R5,C0,M1,S0,S6,S10,S11,B0 || Stable || A rule similar to Gears 1, but here gears are neatly aligned.{NL}{NL}Found at random by Mirek Wojtowicz.
Marvel               || R3,C0,M0,S0,S5,S6,B0,B3 || Stable || The most beautiful one-dimensional rule Ive seen so far. This is how I fancied the Persian gardens when I was a child.{NL}{NL}Found at random by Mirek Wojtowicz.
Maze                 || R3,C10,M1,S3,S4,S5,B1,B3,B4,B5 || Stable || This rule produces 3-dimensional maze, with high walls.{NL}{NL}Found at random by Mirek Wojtowicz.
Noname01             || R2,C0,M1,S0,S3,S4,B2,B4,B5 || Stable || I cant tell what is this rule like. Help is appreciated.{NL}{NL}Found at random by Mirek Wojtowicz.
Noname02             || R2,C15,M1,S2,S3,B1,B2 || Stable || I cant tell what is this rule like. Help is appreciated.{NL}{NL}Found at random by Mirek Wojtowicz.
Pascal's Triangle    || R1,C0,M1,B1 || Stable || A single nonzero cell evolves to Pascal's triangle of binomial coefficients, reduced modulo 2.{NL}{NL}A rule by Stephen Wolfram.
Porridge             || R1,C0,M1,S0,S3,B0,B2 || Stable || This rule produces a dense soup with many small triangles.{NL}{NL}Found at random by Mirek Wojtowicz.
Roots                || R4,C0,M1,S1,S2,S5,S6,S9,B3,B4,B6 || Chaotic || This Class-4 CA produces thick tangled roots and interesting ornamental gliders.{NL}{NL}Found at random by Mirek Wojtowicz.
Shaded Triangles     || R3,C3,M1,S0,S2,S3,S4,S5,S6,B3,B4,B5,B6,B7 || Chaotic || Shaded Triangles.{NL}{NL}Found at random by Jason Rampe.
Skyscrapers          || R6,C10,M1,S2,S4,S6,S7,S8,S11,S13,B0,B1,B3,B8,B12 || Stable || A big city with protruding skyscrapers watched from the birds-eye view.{NL}{NL}Found at random by Mirek Wojtowicz.
The City             || R3,C0,M0,S0,S3,B0,B4 || Stable || Another city simulation, this time watched at night. Many sky-scrapers show shining windows.{NL}{NL}Found at random by Mirek Wojtowicz.
Tulips               || R10,C0,M1,S0,S3,S6,S10,S11,S14,S15,S16,S17,S18,S19,S20,S21,B1,B11,B12,B17,B18,B19,B20,B21 || Stable || This surprisingly beautiful rule shows large fields covered with tulips.{NL}{NL}Found at random by Mirek Wojtowicz.
Walls                || R2,C15,M1,S2,S3,B1,B3 || Stable || A rule very similar to Maze, yet the walls are bigger and more regular.{NL}{NL}Found at random by Mirek Wojtowicz.
Wood Grain           || R8,C3,M0,S1,S2,S4,S6,S7,S10,S12,S13,S14,B0,B2,B3,B4,B5,B6,B7,B10,B11,B13,B15 || Chaotic || Wood Grain.{NL}{NL}Found at random by Jason Rampe.


#1-D binary
Bermuda Triangle     || R2,WBC82271C ||  || Glider-guns{NL}{NL}[Wue98a]
Brownian motion      || R1,W36 ||  || Brownian motion{NL}{NL}[Han95] [Gut97]* [Bob93]
Chaotic gliders      || R2,WAD9C7232 ||  || Gliders{NL}{NL}[Wue98a]
Compound glider      || R2,W89ED7106 ||  || Compound glider{NL}{NL}[Wue98a]
Filiform gliders 1   || R2,W1C2A4798 ||  || Gliders{NL}{NL}[Wue98a]
Filiform gliders 2   || R2,W5C6A4D98 ||  || Glider-guns{NL}{NL}[Wue98a]
Fish-bones           || R2,W5F0C9AD8 ||  || Glider gun{NL}{NL}[]
Fishing-net          || R1,W6E ||  || Gliders{NL}{NL}[Gut97]* [Li92] [Wol84b]
Glider p106          || R2,WB51E9CE8 ||  || Glider with a period of 106 time-steps{NL}{NL}[Wue98a]
Glider-gun p168      || R2,W6C1E53A8 ||  || Compound glider-gun. 168 time-steps{NL}{NL}[Wue98a]
Heavy triangles      || R1,W16 ||  || {NL}{NL}[Gut97]
Inverse gliders      || R2,W360A96F9 ||  || Glider-guns{NL}{NL}[Wue98a]
Kites                || R2,WBF8A5CD8 ||  || Gliders{NL}{NL}[]
Linear A             || R1,W5A ||  || Linear{NL}{NL}[]
Linear B             || R1,W96 ||  || Linear{NL}{NL}[]
Pascal's Triangle    || R1,W12 ||  || {NL}{NL}[Gut97]
Plaitwork            || R2,W6EA8CD14 ||  || Glider gun{NL}{NL}[]
R3 Gliders           || R3,W3B469C0EE4F7FA96F93B4D32B09ED0E0 ||  || Gliders{NL}{NL}[Wue98a]
Raindrops            || R2,W4668ED14 ||  || Raindrops are flowing on the window-pane.{NL}{NL}
Randomizer 1         || R1,W1E ||  || Random sequence generator{NL}{NL}[Gut97]* [Wol86]
Randomizer 2         || R1,W2D ||  || Random sequence generator{NL}{NL}[Wol86]
Relief gliders       || R2,WD28F022C ||  || Gliders{NL}{NL}[Wue98a]
Scaffolding          || R2,W6EEAED14 ||  || Gliders{NL}{NL}[]
Solitons A           || R2,WBF8A18C8 ||  || Solitons, model A in Ref.{NL}{NL}[Aiz90]
Solitons A           || R2,WBF8A58C8 ||  || Solitons, model A in Ref.{NL}{NL}[Aiz90]
Solitons B           || R2,W3CC66B84 ||  || Solitons, model B in Ref.{NL}{NL}[Aiz90]
Solitons B           || R2,W3EEE6B84 ||  || Solitons, model B in Ref.{NL}{NL}[Aiz90]
Solitons B3          || R2,W1D041AC8 ||  || Solitons, model B3 in Ref.{NL}{NL}[Aiz90]
Solitons C1          || R2,W5F2A9CC8 ||  || Solitons, model C1 in Ref., glider gun (nucleus){NL}{NL}[Aiz90]
Solitons C2          || R2,W1D265EC8 ||  || Solitons, model C2 in Ref., glider gun (nucleus){NL}{NL}[Aiz90]
Solitons D1          || R2,W2F8A1858 ||  || Solitons, model D1 in Ref., several gliders, glider gun{NL}{NL}[Aiz90]
Solitons D2          || R2,W1D065AD8 ||  || Solitons, model D2 in Ref.{NL}{NL}[Aiz90]
Solitons E           || R2,WBDA258C8 ||  || Solitons, model E in Ref., moving glider gun{NL}{NL}[Aiz90]
Solitons F           || R2,W9D041AC8 ||  || Solitons, model F in Ref.{NL}{NL}[Aiz90]
Stable gliders       || R2,W7E8696DE ||  || Gliders{NL}{NL}[Wue98a]
Threads              || R2,W978ECEE4 ||  || Glider-guns{NL}{NL}[Wue98a]
Triangular gliders   || R2,WE0897801 ||  || Gliders{NL}{NL}[Wue98a]
Zig-Zags             || R2,W8F0C1A48 ||  || Solitons, model B4 in Ref., glider reflection and passing.{NL}{NL}[Aiz90]


#Custom rules 1D
Traffic CA Standard  || TRCA,0.11,0.05,0.9,0.9,0.2,0.2 || Stable || Probabilistic Traffic CA by David Griffeath and Larry Gray.{NL}{NL}This CA allows exploring mechanisms for the onset of traffic jams due to acceleration and deceleration of cars within a homogeneous single-line stream.


#Weighted Generations
WG Rule004           || WeightedGen,C4,SW0;2;0;1,PW1;1;1;1;1;1;1;1,RS6;7;8;9;10;11,RB4 || Chaotic || This rule is a close relative to the famous Star Wars rule and like that rule is a pattern developers dream. All basic types of patterns are supported. The rules potential for generating interesting patterns can be demonstrated by observing the development of any one of the five chaos patterns (C001.mcl through C005.mcl).{NL}{NL}A rule by Brian Prentice, May 2001.
WG Rule012           || WeightedGen,C6,SW0;2;1;1;1;1,PW1;1;1;1;1;1;1;1,RS4;5,RB5 || Chaotic || This rule seems only to support diagonally moving ships and puffers and still life. No regular ships, puffers or oscillators have yet been found. The diagonally moving puffers are very unusual and quite rare. Four such puffers have been found so far, some of which are quite complex (see DP002.mcl). Diagonal moving ships (gliders) with three different speeds have been found including some that travel faster than Lifes glider (see SD001.mcl).{NL}{NL}A rule by Brian Prentice, June 2001.
WG Rule020           || WeightedGen,C6,SW0;2;0;3;0;1,PW1;1;1;1;1;1;1;1,RS5;6;7;8,RB5 || Chaotic || This rule is unusual in that from a random soup it quickly transforms into many small diagonally moving ships. It also supports diagonal puffers.{NL}{NL}A rule by Brian Prentice, June 2001.
WG Rule031           || WeightedGen,C4,SW0;2;1;0,PW1;1;1;1;1;1;1;1,RS5;6;7,RB4 || Chaotic || At first this rule seems not to have much potential but from its simple building blocks really complex puffers and ships can easily be built.{NL}{NL}A rule by Brian Prentice, June 2001.
WG Rule038           || WeightedGen,C5,SW0;3;2;1;0,PW1;1;1;1;1;1;1;1,RS8,RB6;9 || Chaotic || An Irregular rule which is a good example of the unusual nature of the rule family. The guns are particularly interesting.{NL}{NL}A rule by Brian Prentice, June 2001.
WG Rule050           || WeightedGen,C8,SW0;2;1;2;0;3;0;0,PW1;1;1;1;1;1;1;1,RS4;5;6;7;8,RB6 || Chaotic || This rule supports a broad range of patterns including ships, puffers, diagonal ships, diagonal puffers, and still life. Ships with speeds of c/2, c/3 and c/5 have been found.{NL}{NL}A rule by Brian Prentice, June 2001.
WG Rule063           || WeightedGen,C5,SW0;3;1;0;1,PW2;1;2;1;1;2;1;2,RS6;7;9;10;11,RB7;10 || Chaotic || Generates many unusual puffers and ships. Ships with speeds c/2, c/3, 9c/31 and c/5 have been found (see SD002){NL}{NL}A rule by Brian Prentice, June 2001.
WG Rule071           || WeightedGen,C6,SW0;3;1;0;1;2,PW1;1;1;1;1;1;1;1,RS8;9;10;11;12;13;14;15;16,RB6 || Chaotic || A delightful rule supporting unusual guns, oscillators, ships and puffers. The rule does not however, seem to support diagonally moving objects.{NL}{NL}A rule by Brian Prentice, June 2001.
WG Rule072           || WeightedGen,C6,SW0;3;0;1;1;2,PW1;1;1;1;1;1;1;1,RS8;9;10;11;12;13;14;15;16,RB6 || Chaotic || This rule supports a rich assortment of guns and oscillators together with ships, puffers and still life. No diagonally moving patterns have yet been found.{NL}{NL}A rule by Brian Prentice, June 2001.
WG Rule074           || WeightedGen,C5,SW0;2;0;0;1,PW1;1;1;1;1;1;1;1,RS4;5;6;7;8,RB3 || Chaotic || This rule is notable for its diagonal puffers which lay closely packed tiles consisting of oscillators and for the unusual nature of its oscillators and stretchers.{NL}{NL}A rule by Brian Prentice, July 2001.
WG Rule084           || WeightedGen,C7,SW0;1;2;1;0;0;1,PW2;1;2;1;1;2;1;2,RS5;6,RB5 || Chaotic || This rule supports diagonal puffers and diagonal ships. It also generates a set of ships resembling Pascal triangles which can be constructed of any size (see S010).{NL}{NL}A rule by Brian Prentice, July 2001.
